,first_name,last_name,nick_name,height,weight,reach,stance,wins,losses,draws,fighter_url
1140,Shannon,Gugerty,,"5' 10""",155 lbs.,"71.0""",Orthodox,14,6,0,http://ufcstats.com/fighter-details/9f1641c08cf8fbe2
1141,Clay,Guida,The Carpenter,"5' 7""",155 lbs.,"70.0""",Orthodox,35,16,0,http://ufcstats.com/fighter-details/c47df9303d318c67
1142,Jason,Guida,,"5' 10""",214 lbs.,--,,19,28,0,http://ufcstats.com/fighter-details/ce25b4ed82b1811b
1143,Melvin,Guillard,The Young Assassin,"5' 9""",155 lbs.,"68.0""",Orthodox,48,15,3,http://ufcstats.com/fighter-details/ccd1299e0345e0ce
1144,Chris,Guillen,,"6' 0""",240 lbs.,--,Orthodox,13,12,0,http://ufcstats.com/fighter-details/da0f33e4255f99eb
1145,Marcelo,Guimaraes,Magrao,"6' 0""",185 lbs.,"73.0""",Orthodox,9,2,1,http://ufcstats.com/fighter-details/0c9c0a43d3f3f49d
1146,Leonardo,Augusto Leleco,Leleco,"6' 0""",185 lbs.,"73.0""",Orthodox,11,3,0,http://ufcstats.com/fighter-details/cc98d857b148e33a
1147,Brad,Gumm,,"5' 11""",170 lbs.,--,Orthodox,10,6,1,http://ufcstats.com/fighter-details/4d74641fac830182
1148,John,Gunderson,Quick Guns,"5' 9""",155 lbs.,"69.0""",Orthodox,32,12,2,http://ufcstats.com/fighter-details/a0c139b34f11421a
1149,John,Gunther,The Machine,"5' 9""",155 lbs.,"72.0""",Orthodox,7,2,0,http://ufcstats.com/fighter-details/3956bdc8ab2e54b3
1150,Jorge,Gurgel,,"5' 7""",155 lbs.,"69.0""",Orthodox,14,9,0,http://ufcstats.com/fighter-details/04d5718ed2661e8c
1151,Fabio,Gurgel,,"6' 0""",205 lbs.,--,Orthodox,3,2,0,http://ufcstats.com/fighter-details/8377c5572cb356f3
1152,Andre,Gusmao,,"6' 0""",205 lbs.,--,Orthodox,6,3,0,http://ufcstats.com/fighter-details/cc300e9aa3063431
1153,Alexander,Gustafsson,The Mauler,"6' 5""",205 lbs.,"79.0""",Orthodox,18,6,0,http://ufcstats.com/fighter-details/3c6976f8182d9527
1154,Justin,Guthrie,,"6' 1""",170 lbs.,--,,18,9,0,http://ufcstats.com/fighter-details/a789defa9086da46
1155,Horacio,Gutierrez,The Punisher,"5' 10""",145 lbs.,"69.0""",,3,3,0,http://ufcstats.com/fighter-details/cd85b48dc880fabd
1156,Chris,Gutierrez,El Guapo,"5' 9""",135 lbs.,"67.0""",Orthodox,14,3,0,http://ufcstats.com/fighter-details/45f0cc9d18f35137
1157,Mike,Guymon,The Joker,"6' 0""",170 lbs.,"74.0""",Orthodox,12,5,1,http://ufcstats.com/fighter-details/eaea0fc7b76525a8
1158,Keith,Hackney,The Giant Killer,"5' 11""",200 lbs.,--,Sideways,2,2,0,http://ufcstats.com/fighter-details/bf12aca029bfcc47
1159,Steve,Hadsel,,"5' 8""",170 lbs.,--,,3,0,0,http://ufcstats.com/fighter-details/99793cf88c5adeee
1160,Damir,Hadzovic,The Bosnian Bomber,"5' 9""",155 lbs.,"70.0""",Orthodox,13,5,0,http://ufcstats.com/fighter-details/38c626ca912c7bac
1161,Tim,Hague,The Trashing Machine,"6' 4""",260 lbs.,"76.0""",Orthodox,13,5,0,http://ufcstats.com/fighter-details/219a254e15d60135
1162,Yazan,Hajeh,Yazzle Dazzle,"5' 9""",145 lbs.,"73.0""",Orthodox,6,1,0,http://ufcstats.com/fighter-details/4955c524c2a71469
1163,Stoney,Hale,The Skuller,"6' 0""",--,--,,4,2,0,http://ufcstats.com/fighter-details/206a7d47eb62170e
1164,Kevin,Haley,The North Woods Nightmare,"6' 2""",205 lbs.,--,,6,4,0,http://ufcstats.com/fighter-details/439d4bbefd4e6940
1165,Mark,Hall,,"6' 0""",190 lbs.,--,Orthodox,5,6,0,http://ufcstats.com/fighter-details/18524b46c570730b
1166,Uriah,Hall,Prime Time,"6' 0""",185 lbs.,"79.0""",Orthodox,15,9,0,http://ufcstats.com/fighter-details/65578a75fa7900e3
1167,Ryan,Hall,The Wizard,"5' 10""",145 lbs.,"70.0""",,8,1,0,http://ufcstats.com/fighter-details/8866c6f509c19089
1168,Dennis,Hallman,Superman,"5' 9""",155 lbs.,"72.0""",Orthodox,67,14,2,http://ufcstats.com/fighter-details/8a8a84b743ae7699
1169,Piotr,Hallmann,Pletwal,"5' 9""",155 lbs.,"71.0""",Orthodox,15,5,0,http://ufcstats.com/fighter-details/a3be148af5c7b088
1170,Tony,Halme,,"6' 3""",300 lbs.,--,Orthodox,0,4,0,http://ufcstats.com/fighter-details/bad28b7b34f334de
1171,Brandon,Halsey,Bull,"6' 0""",185 lbs.,--,,9,3,0,http://ufcstats.com/fighter-details/e763679f15326ae1
1172,John,Halverson,The Hurricane,"5' 9""",155 lbs.,--,Southpaw,16,7,0,http://ufcstats.com/fighter-details/88c8f47241d90040
1173,Seohee,Ham,,"5' 2""",115 lbs.,"62.0""",Southpaw,16,8,0,http://ufcstats.com/fighter-details/165c244bcca3ed26
1174,Frank,Hamaker,,--,--,--,,1,0,0,http://ufcstats.com/fighter-details/c3c23c99477c041b
